alpha,sr_h1,bp_h1,turn_h1,sr_h4,bp_h4,turn_h4,sr_h12,bp_h12,turn_h12,sr_h24,bp_h24,turn_h24,sr_h72,bp_h72,turn_h72,sr_h168,bp_h168,turn_h168
ofi_24,1.5406757228586658,0.6741699691539642,2188.298139864694,1.912445427215581,0.7917454493561009,1193.2818212257193,1.9245843749913356,0.7698754188836222,762.4873006384871,1.9013629779556793,0.7572050872882594,590.1632853078902,1.6587761472925313,0.6843551049866655,354.43705662429386,1.1397269970865067,0.46780315439939724,273.0142900885229
ofi_6,1.5047476311302697,0.597407756486195,4521.57637764494,2.3337410161596637,0.8377193451283679,2418.16371796627,2.3988589615860993,0.8661222158354592,1307.4171040015567,2.215273633996379,0.8572582464771283,872.8111834919606,1.8446763057149906,0.7717467378683978,495.41770656682155,1.4386910646239475,0.6090482910013528,345.29179847727386
vol_shock,0.18896757251079987,0.1001169474180444,5981.021206044461,0.2609854686375805,0.1283818240907508,2238.2422089492534,0.5443689296884848,0.2685237862527649,1057.9654532652146,0.5265927841603315,0.2591012761851938,690.5551963590439,0.6443768607921136,0.30581871069582284,416.65386706014704,0.20976924362330604,0.09874805249901474,329.8672335384528
low_vol,0.36338335238064606,0.22995015004459957,468.85002293000315,0.4074671801050856,0.25248559943369303,362.7871065176739,0.29111273213860095,0.17821900270258378,282.98114406748056,0.2857134628941174,0.1723316836315708,246.18592434099077,0.2046621949663415,0.11613074169291471,190.89474634175465,0.5565430325690003,0.2924590487323279,170.27713952308417
range_pos,1.939160979029172,1.0128739467020689,2065.695153807256,2.171179246046352,1.0678271365722996,1048.5022915358845,1.8728815974259594,0.8896751666610276,628.8044292740125,1.557157752772857,0.7213722343102548,468.00058100930187,1.2088829966483698,0.5199778238594652,309.43121305107735,1.1776730303438312,0.4783013250081452,257.14341489054476
intraday_rev,0.41426921462690064,0.2533736728616763,4914.880237433119,-0.7402622803090358,-0.41600335658096405,2763.201795328158,-1.386440277678429,-0.7823941183597003,1590.7789124119759,-0.9105166477640395,-0.5326164201308716,1136.8686111509137,-0.868383336244718,-0.514236414249271,716.9284831327108,-0.834985610197629,-0.4881055149037843,532.5075237016297
illiq,0.4055026957888584,0.2256183306626026,590.7317947924727,0.32078937316220935,0.17373219324310799,505.24879313306775,0.10984567546017855,0.058340665842907105,420.8529895297661,-0.013281578292003632,-0.006928559074348497,369.731950285865,-0.35601521473921205,-0.18011703045593694,255.31471432319083,-0.09156240324779502,-0.045190329529948406,195.92197595872375
idio_mom,0.7365650437596131,0.42911818828696935,1230.4290656203495,1.1171138935097753,0.6345324527245635,698.1733556352041,1.1282902227829306,0.6328146596220537,469.070072128468,1.1456029325830266,0.6358424698489741,380.92186586449554,1.0404690967464525,0.5611309696479485,282.04377129382635,0.7126320324976054,0.36587156351576494,252.0932891579546
wick_rev,-0.41153720157517915,-0.18506598603083063,5861.866410782974,-0.6140882181666608,-0.23542037768971566,3280.8408310052373,-1.414397201520388,-0.5268221248627918,1661.218103795237,-1.1541473826247153,-0.45463531749724034,1157.7331570822284,-1.020348849691355,-0.4095999986738159,686.1475676909907,-0.7049344240469047,-0.27876378167734056,473.1542542335743
fund_extreme,-0.007642502074305199,-0.0033859901518129678,1512.376174216298,-0.28205958835703976,-0.11968446244645205,1201.4224570129138,-0.49281377719587177,-0.19869440393910826,860.7373290261222,-0.7065963776087334,-0.2827733926857822,605.2872306158731,-0.512221160019285,-0.19161040440781146,377.5343713030536,-0.6155069873551974,-0.22433183891556296,293.1230245579081
vol_of_vol,0.5154493290345432,0.2648607522593532,501.86286761867524,0.5579872994300703,0.28242168051641137,414.81441410725915,0.5346015223557022,0.26866951048179416,338.4154839718181,0.4302936315173644,0.21422454272596553,301.3155923952619,0.2938138667002168,0.14131707760747905,236.72506345773138,0.4228013758618271,0.19420201261097658,212.59063976984922
mom_accel,0.08698375678019235,0.05229693920390617,1587.3157722210694,0.3780846353067044,0.21954163443576147,874.8138003689114,0.38874572048336886,0.22161021517424662,577.4831502427309,0.4274108499327161,0.24021812709601073,464.6730232567622,0.5700020116689865,0.3109693531548224,351.06053817071455,0.31780581009307773,0.16389700924492787,291.24519269505726
dv_trend,0.34363893264447437,0.1862190704961553,674.7470581547126,0.32118040241870016,0.17190438441982864,535.2142435499821,0.41816512717490517,0.22165786064555662,432.5930693588047,0.5066081829228596,0.26494540641097114,383.0035079003448,0.41877089211147306,0.20881059076620304,296.68101385865924,0.03945288875090986,0.01827567396405254,251.36376391140075
resid_rev_24,-0.21957617196502136,-0.13639892845873408,2506.6385877797047,-0.7093143669233439,-0.4183078138262612,1355.0931849895835,-0.6160783675308487,-0.35876054581604194,877.806303245201,-0.5550934564786275,-0.3253085627877039,701.7564232071021,-0.740627008168861,-0.4212930257153948,438.06427442454986,-0.6606029440428907,-0.363349432672126,346.5075274338033
resid_rev_72,-0.5865518268309385,-0.3626709714215854,1603.6217480680225,-0.9872728678649354,-0.5936961757434832,873.5532319697932,-0.9014196850711688,-0.5326452877674748,570.9621324235056,-0.8908510473408149,-0.5176256713284139,456.4879856104427,-0.9065127847590155,-0.5069010170499756,343.4991892167935,-0.8087634916832687,-0.4301537703958586,279.786479484106
