sym,tick,px,tick_bp,adv_hr,ladv
ASTSUSDT,0.009999999999990905,71.63,1.3960631020509433,160479.17686715262,5.205418688090536
ATAUSDT,2.0000000000000052e-05,0.0964,2.0746887966805034,804774.2789970442,5.905674087656983
ATHUSDT,1.0000000000001327e-06,0.01114,0.8976660682227402,462333.57185422286,5.664955430409021
ATOMUSDT,0.0009999999999994458,7.4365000000000006,1.3447186176285157,5530366.7797818715,6.742753935129846
ATUSDT,1.0000000000010001e-05,0.1547,0.64641241111894,762507.7753551963,5.882244276578351
AUCTIONUSDT,0.0009999999999994458,11.69,0.8554319931560701,1789068.893151131,6.252627064625112
AUDIOUSDT,9.999999999998899e-05,0.2719,3.67782272894406,1625828.238634535,6.211074662442921
AUSDT,9.999999999996123e-06,0.1551,0.6447453255961395,306760.30220136576,5.486799156937994
AVAAIUSDT,2.0000000000002655e-06,0.01348,1.4836795252227486,711783.3062914871,5.852347798123422
AVAUSDT,9.999999999998899e-05,0.3799,2.632271650434035,311766.42824136146,5.493829347496496
AVAXUSDT,0.0009999999999994458,20.36,0.4911591355596492,14181466.470917417,7.151721142504104
AVGOUSDT,0.009999999999990905,396.37,0.2522895274614856,389161.11027839524,5.590129433766473
AVNTUSDT,9.999999999998899e-05,0.1689,5.920663114268146,4288133.059798664,6.632268252953312
AWEUSDT,9.999999999996123e-06,0.05597,1.7866714311231238,294494.59265569295,5.4690773249249744
AXLUSDT,1.0000000000003062e-05,0.3569,0.2801905295601867,691916.4783346276,5.840053673665471
AXSUSDT,0.0009456499999999393,6.068,1.558421226104053,7550044.010145136,6.877949483193092
AXTIUSDT,0.00999999999999801,67.54,1.4806040864669838,782699.7405455441,5.893595189857117
AZTECUSDT,9.999999999999593e-06,0.01927,5.18941359626341,529019.2471500805,5.723471473129723
B2USDT,9.999999999998899e-05,0.6204,1.611863313990796,328510.62718146644,5.516549423367995
B3USDT,1.0000000000000243e-07,0.001141,0.8764241893076462,239209.1676961597,5.378777819980076
BABAUSDT,0.009999999999990905,122.01,0.819604950413155,369542.0598447705,5.567663875258452
BABYUSDT,9.999999999999593e-06,0.0188,5.319148936169996,1200527.1379182292,6.079371981731594
BADGERUSDT,0.000300000000000189,1.19905,2.5019807347499188,398095.84461951203,5.599987644380795
BAKEUSDT,9.999999999998899e-05,0.2197,4.5516613563945825,1854430.8322552342,6.268210639373941
BALUSDT,0.0009999999999998899,4.468,2.238137869292502,563266.3205198946,5.750713784166922
BANANAS31USDT,1.0000000000001327e-06,0.0063,1.587301587301798,1676198.3915690854,6.224325419583412
BANANAUSDT,0.0009999999999998899,16.975,0.5891016200293901,840181.7300993584,5.924373233494164
BANDUSDT,9.999999999998899e-05,1.4903,0.6710058377507147,1312753.9993883343,6.118183350066799
BANKUSDT,9.999999999996123e-06,0.04559,2.193463478832227,1930369.1623355816,6.28564037109796
BANUSDT,9.999999999996123e-06,0.06829,1.4643432420553701,1049605.2251220848,6.021025984032386
BARDUSDT,9.999999999998899e-05,0.6438,1.5532774153462099,1445851.7804773767,6.160123774134085
BASEDUSDT,9.999999999996123e-06,0.08,1.2499999999995155,1640422.8079982183,6.21495579897128
BASUSDT,1.0000000000001327e-06,0.015124,0.6612007405449172,1398442.140712963,6.145644502535288
BATUSDT,9.999999999998899e-05,0.2276,4.393673110720078,944374.9443770722,5.9751444561035045
BBUSDT,9.999999999999593e-06,0.122555,0.815960181143127,1609710.9054219734,6.206747886309163
BBXUSDT,0.0019999999999997797,8.95,2.234636871508134,135027.41489958996,5.130421953168101
BCHUSDT,0.010000000000005116,327.2,0.305623471882797,9364560.721214147,6.971487410026561
BDXNUSDT,9.999999999999593e-06,0.03298,3.032140691327954,585960.6883354103,5.767868480503253
BEAMXUSDT,9.999999999999159e-07,0.008072,1.238850346877993,782132.3461225443,5.893280247084829
BEATUSDT,9.999999999998899e-05,0.5939,1.6837851490148001,6046393.302145408,6.781496393486194
BELUSDT,9.999999999998899e-05,0.6378,1.567889620570539,1465454.030154389,6.165972199599148
